"","cik","company.name"
"143","1606745","Liberty TripAdvisor Holdings  Inc "
"144","1705222","Life Partners IRA Holder Partnership  LLC"
"145","1692144","Life Partners Position Holder Trust"
"146","1606163","Limbach Holdings  Inc "
"147","1350420","Lincolnway Energy  LLC"
"148","1396033","Lumber Liquidators Holdings  Inc "
"149","1633978","Lumentum Holdings Inc "
"150","1000209","MEDALLION FINANCIAL CORP"
"151","1456857","MJ Holdings  Inc "
"152","1003201","MMA Capital Holdings  Inc "
"153","1624826","MPM Holdings Inc "
"154","1011659","MUFG Americas Holdings Corp"
"155","1412100","Maiden Holdings  Ltd "
"156","1520358","MamaMancinis Holdings  Inc "
"157","1638290","MasterCraft Boat Holdings  Inc "
"158","1582554","Matinas BioPharma Holdings  Inc "
"159","1668397","Medpace Holdings  Inc "
"160","1476034","Metropolitan Bank Holding Corp "
"161","1637913","Milacron Holdings Corp "
"162","1385292","Monotype Imaging Holdings Inc "
"163","1686850","Motus GI Holdings  Inc "
"164","1681206","NI Holdings  Inc "
"165","1547903","NMI Holdings  Inc "
"166","1399855","National American University Holdings  Inc "
"167","1475841","National Bank Holdings Corp"
"168","1578735","National General Holdings Corp "
"169","1710155","National Vision Holdings  Inc "
"170","1593001","NightFood Holdings  Inc "
"171","1513761","Norwegian Cruise Line Holdings Ltd "
"172","1639300","Ollies Bargain Outlet Holdings  Inc "
"173","1646188","Ondas Holdings Inc "
"174","1712463","One Madison Corp"
"175","1584207","OneMain Holdings  Inc "
"176","1397016","Optex Systems Holdings Inc"
"177","1288855","OptimumBank Holdings  Inc "
"178","1661181","Organogenesis Holdings Inc "
"179","1402829","Orion Group Holdings Inc"
"180","1566011","PBF Holding Co LLC"
"181","1708035","PQ Group Holdings Inc "
"182","1392972","PROS Holdings  Inc "
"183","1592379","Papa Murphys Holdings  Inc "
"184","1592058","Party City Holdco Inc "
"185","1633917","PayPal Holdings  Inc "
"186","1591698","Paylocity Holding Corp"
"187","1512922","PetVivo Holdings  Inc "
"188","1627469","Photozou Holdings  Inc "
"189","1117057","Planet Green Holdings Corp "
"190","1617431","Po Yuen Cultural Holdings  Hong Kong  Co   Ltd "
"191","1605810","Porter Holding International  Inc "
"192","1634424","PowerComm Holdings Inc "
"193","1586454","Prime Meridian Holding Co"
"194","1510487","Principia Biopharma Inc "
"195","1653558","Priority Technology Holdings  Inc "
"196","1680247","ProPetro Holding Corp "
"197","1517681","Propanc Biopharma  Inc "
"198","1410384","Q2 Holdings  Inc "
"199","1442236","Quest Resource Holding Corp"
"200","1581091","RE MAX Holdings  Inc "
"201","1353406","RedHawk Holdings Corp "
"202","1682265","Reliant Holdings  Inc "
"203","1412126","RemSleep Holdings Inc "
"204","1481582","Ryerson Holding Corp"
"205","1514732","SAExploration Holdings  Inc "
"206","1592706","SB RH Holdings  LLC"
"207","1690334","SEACOR Marine Holdings Inc "
"208","1616533","SMART Global Holdings  Inc "
"209","1400683","STWC  Holdings  Inc "
"210","1089907","SWK Holdings Corp"
"211","1627857","Sailpoint Technologies Holdings  Inc "
"212","1669400","SanSal Wellness Holdings  Inc "
"213","1580608","Santander Consumer USA Holdings Inc "
"214","1637761","SeaSpine Holdings Corp"
"215","1477294","Sensata Technologies Holding plc"
"216","1616543","Senseonics Holdings  Inc "
"217","1656328","Sienna Biopharmaceuticals  Inc "
"218","1532595","Sincerity Applied Materials Holdings Corp "
"219","1643319","Sleepaid Holding Co "
"220","1706946","Social Capital Hedosophia Holdings Corp "
"221","1692115","Southwest Gas Holdings  Inc "
"222","109177","Spectrum Brands Holdings  Inc "
"223","1364885","Spirit AeroSystems Holdings  Inc "
"224","1289945","Spok Holdings  Inc"
"225","1697834","Stem Holdings  Inc "
"226","1634432","Strongbridge Biopharma plc"
"227","1343465","Sun Pacific Holding Corp "
"228","1392694","Surge Holdings  Inc "
"229","1698991","TPG Pace Holdings Corp "
"230","1013880","TTEC Holdings  Inc "
"231","1133798","TX Holdings  Inc "
"232","1660280","Tenable Holdings  Inc "
"233","1318605","Tesla  Inc "
"234","1583107","Theravance Biopharma  Inc "
"235","1489096","Thermon Group Holdings  Inc "
"236","1310630","Trafalgar Resources  Inc "
"237","1550453","TriLinc Global Impact Fund LLC"
"238","1380846","TriState Capital Holdings  Inc "
"239","1530804","Tronox Holdings plc"
"240","1134765","True Drinks Holdings  Inc "
"241","1089815","U S  NeuroSurgical Holdings  Inc "
"242","1665918","US Foods Holding Corp "
"243","1275014","Ultra Clean Holdings  Inc "
"244","1317839","Umatrin Holding Ltd"
"245","100517","United Continental Holdings  Inc "
"246","1652842","United Royale Holdings Corp "
"247","1619250","Valeritas Holdings Inc "
"248","1501570","Veritex Holdings  Inc "
"249","1570827","Victory Capital Holdings  Inc "
"250","1082324","VirnetX Holding Corp"
"251","1438943","Vitality Biopharma  Inc "
"252","1390844","WABCO Holdings Inc "
"253","1653247","Waitr Holdings Inc "
"254","1378718","Wesco Aircraft Holdings  Inc"
"255","1279715","Wright Investors Service Holdings  Inc "
"256","1453593","Xtant Medical Holdings  Inc "
"257","1670592","YETI Holdings  Inc "
"258","1673358","Yum China Holdings  Inc "
"259","1608249","Zayo Group Holdings  Inc "
"260","1635748","Zoompass Holdings  Inc "
"261","1293971","bluebird bio  Inc "
"262","1727263","frontdoor  inc "
"263","1479681","iGambit  Inc "
"264","1397187","lululemon athletica inc "
"265","1720580","resTORbio  Inc "
