"","cik","company.name"
"136",1179060,"EnLink Midstream Partners  LP"
"137",1237746,"Endurance International Group Holdings  Inc "
"138",1522327,"Entegra Financial Corp "
"139",1592057,"Enviva Partners  LP"
"140",1531031,"Esquire Financial Holdings  Inc "
"141",1318568,"Everi Holdings Inc "
"142",1528760,"Exeo Entertainment  Inc "
"143",1297989,"ExlService Holdings  Inc "
"144",1668428,"FGL Holdings"
"145",1503458,"FOOTHILLS EXPLORATION  INC "
"146",1740797,"FREECOOK"
"147",1431766,"FSP 303 East Wacker Drive Corp "
"148",1703785,"Falcon Minerals Corp"
"149",1069996,"FedNat Holding Co"
"150",1326771,"Federal Home Loan Bank of Cincinnati"
"151",1574197,"Five Point Holdings  LLC"
"152",1507079,"Floor   Decor Holdings  Inc "
"153",1688941,"Foundation Building Materials  Inc "
"154",1399935,"Francescas Holdings CORP"
"155",1096275,"Franchise Holdings International  Inc "
"156",1555039,"Front Yard Residential Corp"
"157",1389123,"Frontier Heritage Fund"
"158",1444363,"GAIN Capital Holdings  Inc "
"159",40211,"GATX CORP"
"160",1674101,"GS Acquisition Holdings Corp"
"161",109657,"GT Biopharma  Inc "
"162",1368757,"GTJ REIT  INC "
"163",1682325,"GTY Technology Holdings Inc "
"164",1522690,"GWG Holdings  Inc "
"165",13156,"Galaxy Gaming  Inc "
"166",1673504,"Galem Group Inc "
"167",1559998,"Gaucho Group Holdings  Inc "
"168",1398659,"Genpact LTD"
"169",1647705,"Global Boatworks Holdings  Inc "
"170",104889,"Graham Holdings Co"
"171",1489588,"Gratitude Health  Inc "
"172",1573097,"HD Supply Holdings  Inc "
"173",1476963,"HEAT BIOLOGICS  INC "
"174",1000228,"HENRY SCHEIN INC"
"175",1709164,"Hamilton Beach Brands Holding Co"
"176",1561894,"Hannon Armstrong Sustainable Infrastructure Capital  Inc "
"177",1495491,"Healthcare Trust of America Holdings  LP"
"178",1611277,"Helix TCS  Inc "
"179",1598665,"Heritage Insurance Holdings  Inc "
"180",1665421,"High Desert Holding Corp "
"181",1265131,"Hilltop Holdings Inc "
"182",1585689,"Hilton Worldwide Holdings Inc "
"183",1580156,"Houghton Mifflin Harcourt Co"
"184",1289848,"Huron Consulting Group Inc "
"185",933141,"IBERIABANK CORP"
"186",1681903,"ICC Holdings  Inc "
"187",1205181,"IMAGING3 INC"
"188",715787,"INTERFACE INC"
"189",781902,"INTERNATIONAL BALER CORP"
"190",1036262,"INTEST CORP"
"191",1317630,"ITC Holdings Corp "
"192",1337013,"InfuSystem Holdings  Inc"
"193",1364099,"Innophos Holdings  Inc "
"194",1619954,"Inovalon Holdings  Inc "
"195",1114483,"Integer Holdings Corp"
"196",1602658,"Investar Holding Corp"
"197",1617227,"J  Alexanders Holdings  Inc "
"198",1674335,"JELD WEN Holding  Inc "
"199",200406,"JOHNSON   JOHNSON"
"200",1518171,"Jade Global Holdings  Inc "
"201",1620459,"James River Group Holdings  Ltd "
"202",1696558,"Jerash Holdings  US   Inc "
"203",1357671,"Jerrick Media Holdings  Inc "
"204",1506307,"KINDER MORGAN  INC "
"205",1738827,"KLX Energy Services Holdings  Inc "
"206",1503802,"Karyopharm Therapeutics Inc "
"207",1530746,"Kaya Holdings  Inc "
"208",1408100,"Kennedy Wilson Holdings  Inc "
"209",1492691,"Knight Swift Transportation Holdings Inc "
